247175.019,641300.994,0.98
247175.019,641290.994,0.82
247175.019,641280.994,0.49
247175.019,641270.994,0.69
247175.019,641260.994,0.52
247175.019,641250.994,0.52
247175.019,641240.994,0.66
247175.019,641230.994,0.57
247175.019,641220.994,0.6
247175.019,641210.994,0.49
247175.019,641200.994,0.43
247175.019,641190.994,0.47
247175.019,641180.994,0.62
247175.019,641170.994,0.64
247175.019,641160.994,0.43
247175.019,641150.994,0.23
247175.019,641140.994,0.39
247175.019,641130.994,0.41
247175.019,641120.994,0.44
247175.019,641090.994,0.38
247175.019,641080.994,0.09
247175.019,641070.994,0.44
247175.019,641060.994,0.47
247175.019,641050.994,0.33
247175.019,641040.994,0.45
247175.019,641030.994,0.6
247175.019,641020.994,0.7
247175.019,641010.994,0.57
247175.019,641000.994,0.17
247185.019,641610.994,1.51
247185.019,641600.994,1.35
247185.019,641590.994,1.51
247185.019,641580.994,1.55
247185.019,641570.994,1.54
247185.019,641560.994,1.31
247185.019,641550.994,0.91
247185.019,641540.994,0.65
247185.019,641530.994,0.41
247185.019,641520.994,0.6
247185.019,641510.994,0.5
247185.019,641500.994,0.57
247185.019,641490.994,0.54
247185.019,641480.994,0.41
247185.019,641470.994,0.43
247185.019,641460.994,0.57
247185.019,641450.994,0.43
247185.019,641440.994,0.45
247185.019,641430.994,0.42
247185.019,641420.994,0.43
247185.019,641410.994,0.48
247185.019,641400.994,0.49
247185.019,641390.994,0.52
247185.019,641380.994,0.44
247185.019,641370.994,0.57
247185.019,641360.994,0.59
247185.019,641350.994,0.64
247185.019,641340.994,0.75
247185.019,641330.994,0.78
247185.019,641320.994,0.96
247185.019,641310.994,0.95
247185.019,641300.994,1.05
247185.019,641290.994,0.89
247185.019,641280.994,1.02
247185.019,641270.994,0.76
247185.019,641260.994,0.57
247185.019,641250.994,0.61
247185.019,641240.994,0.65
247185.019,641230.994,0.72
247185.019,641220.994,0.68
247185.019,641210.994,0.62
247185.019,641200.994,0.57
247185.019,641190.994,0.47
247185.019,641180.994,0.55
247185.019,641170.994,0.44
247185.019,641160.994,0.64
247185.019,641150.994,0.42
247185.019,641140.994,0.43
247185.019,641130.994,0.44
247185.019,641100.994,0.58
247185.019,641090.994,0.45
247185.019,641080.994,0.37
247185.019,641070.994,0.55
247185.019,641060.994,0.68
247185.019,641050.994,0.68
247185.019,641040.994,0.52
247185.019,641030.994,0.6
247185.019,641020.994,0.71
247185.019,641010.994,0.58
247185.019,641000.994,0.11
247195.019,641640.994,1.12
247195.019,641630.994,1.43
247195.019,641620.994,1.02
247195.019,641610.994,1.49
247195.019,641600.994,1.25
247195.019,641590.994,1.34
247195.019,641580.994,1.54
247195.019,641570.994,1.54
247195.019,641560.994,1.34
247195.019,641550.994,0.41
247195.019,641540.994,0.41
247195.019,641530.994,0.48
247195.019,641520.994,0.45
247195.019,641510.994,0.45
247195.019,641500.994,0.56
247195.019,641490.994,0.51
247195.019,641480.994,0.53
247195.019,641470.994,0.4
247195.019,641460.994,0.54
247195.019,641450.994,0.41
247195.019,641440.994,0.41
247195.019,641430.994,0.45
247195.019,641420.994,0.44
247195.019,641410.994,0.41
247195.019,641400.994,0.53
247195.019,641390.994,0.45
247195.019,641380.994,0.57
247195.019,641370.994,0.55
247195.019,641360.994,0.71
247195.019,641350.994,0.76
247195.019,641340.994,0.72
247195.019,641330.994,1.02
247195.019,641320.994,0.94
247195.019,641310.994,1.07
247195.019,641300.994,1.04
247195.019,641290.994,0.94
247195.019,641280.994,1.04
247195.019,641270.994,0.74
247195.019,641260.994,0.99
247195.019,641250.994,0.74
247195.019,641240.994,0.79
247195.019,641230.994,0.88
247195.019,641220.994,0.96
247195.019,641210.994,1.01
247195.019,641200.994,0.62
247195.019,641190.994,0.64
247195.019,641180.994,0.48
247195.019,641170.994,0.54
247195.019,641160.994,0.52
247195.019,641150.994,0.43
247195.019,641140.994,0.41
247195.019,641110.994,0.61
247195.019,641100.994,0.49
247195.019,641090.994,0.44
247195.019,641080.994,0.5
247195.019,641070.994,0.61
247195.019,641060.994,0.68
247195.019,641050.994,0.52
